STT,Code,Name,Note,SL BÁN 3 THÁNG,SL BÁN 6 THÁNG,TỒN KHO,BQ BÁN/NGÀY,NGÀY TỒN,Order Forecast
1.0,4711378880762,VM32 - KEO DÁN MI (Vacosi 3D Eyelash Primer 8ml),,1414.0,1414.0,9432.0,7.855555555555555,1200.6789250353606,
2.0,8809605877008,VK15-01 - PHẤN NƯỚC VACOSI CĂNG MỊN CHỐNG NẮNG SPF 50+ #17 SÁNG (Vacosi Flaso Cushion SPF 50+ PA+++ #17 Fair),,303.0,303.0,10418.0,1.6833333333333333,6188.910891089109,
3.0,8809605877015,VK15-02 - PHẤN NƯỚC VACOSI CĂNG MỊN CHỐNG NẮNG SPF 50+ #21 SÁNG TỰ NHIÊN (Vacosi Flaso Cushion SPF 50+ PA+++ #21 Ivory),,360.0,360.0,9098.0,2.0,4549.0,
4.0,8809399372499-01,VM22-EN01 - LÔNG MI GIẢ CHUYÊN NGHIỆP 4D (Vacosi 4D Pro EyeLashes),Bỏ mẫu,15.0,15.0,910.0,0.08333333333333333,10920.0,
5.0,8809399372499-02,VACOSI 4D PRO EYELASHES (VM22-EN02 - Lông mi giả chuyên nghiệp 4D),Bỏ mẫu,75.0,75.0,82.0,0.4166666666666667,196.79999999999998,
6.0,8809399372499-03,VM22-ED01 - LÔNG MI GIẢ CHUYÊN NGHIỆP 4D (Vacosi 4D Pro EyeLashes),Bỏ mẫu,24.0,24.0,1330.0,0.13333333333333333,9975.0,
7.0,8809399372499-04,VM22-ED02 - LÔNG MI GIẢ CHUYÊN NGHIỆP 4D (Vacosi 4D Pro EyeLashes),Bỏ mẫu,2.0,2.0,64.0,0.011111111111111112,5760.0,
8.0,8809399372499-05,VACOSI 4D PRO EYELASHES (VM22-ED03 - Lông mi giả chuyên nghiệp 4D),Bỏ mẫu,75.0,75.0,24.0,0.4166666666666667,57.599999999999994,51.0
9.0,8809399372499-06,VM22-EQ01 - LÔNG MI GIẢ CHUYÊN NGHIỆP 4D (Vacosi 4D Pro Eyelashes),Bỏ mẫu,27.0,27.0,2098.0,0.15,13986.666666666668,
10.0,8809399372499-09,VM22-EV01 - LÔNG MI GIẢ CHUYÊN NGHIỆP 4D (Vacosi 4D Pro EyeLashes),Bỏ mẫu,40.0,40.0,322.0,0.2222222222222222,1449.0,
11.0,8809399372499-10,VM22-EV02 - LÔNG MI GIẢ CHUYÊN NGHIỆP 4D (Vacosi 4D Pro EyeLashes),Bỏ mẫu,16.0,16.0,1257.0,0.08888888888888889,14141.25,
12.0,6970758099103,VM28-ZE01 - LÔNG MI GÂN TRONG VACOSI SẮC SẢO (Vacosi Zero-Band Eyelashes ZE01),Bỏ mẫu,36.0,36.0,2420.0,0.2,12100.0,
13.0,6970758099097,VM28-ZE02 LÔNG MI GÂN TRONG VACOSI CÔ DÂU (Vacosi Zero-Band Eyelashes ZE02),Bỏ mẫu,7.0,7.0,2625.0,0.03888888888888889,67500.0,
14.0,6970758093088,VM28-ZE03 - LÔNG MI GÂN TRONG VACOSI NHẸ NHÀNG (Vacosi Zero-Band Eyelashes ZE03),Bỏ mẫu,19.0,19.0,2549.0,0.10555555555555556,24148.42105263158,
15.0,6970758093095,VM28-ZE04 LÔNG MI GÂN TRONG VACOSI BÚP BÊ (Vacosi Zero-Band Eyelashes ZE04),Bỏ mẫu,4.0,4.0,2502.0,0.022222222222222223,112590.0,
16.0,6970758092951,VM28-ZE05 LÔNG MI GÂN MẢNH VACOSI TỰ NHIÊN (Vacosi Zero-Band Eyelashes ZE05),Bỏ mẫu,2.0,2.0,3136.0,0.011111111111111112,282240.0,
17.0,6970758092944,VM28-ZE06 LÔNG MI GÂN TRONG VACOSI NHẤN ĐUÔI (Vacosi Zero-Band Eyelashes ZE06),Bỏ mẫu,12.0,12.0,3550.0,0.06666666666666667,53250.0,
18.0,8809399372499-07,VACOSI 4D PRO EYELASHES (VM22-EQ02 - Lông mi giả chuyên nghiệp 4D),Bỏ mẫu,7.0,7.0,37.0,0.03888888888888889,951.4285714285714,
19.0,8809399372499-08,VACOSI 4D PRO EYELASHES (VM22-EQ03 - Lông mi giả chuyên nghiệp 4D),Bỏ mẫu,4.0,4.0,6.0,0.022222222222222223,270.0,
20.0,8809491946451,VS10 - SON LÌ MỊN MÔI #M1 7g (Vacosi Matte INK Lip Cream #M1 Pelago ),Bỏ mẫu,30.0,30.0,134.0,0.16666666666666666,804.0,
21.0,8809491946482,VS10 - SON LÌ MỊN MÔI #M2 7g (Vacosi Matte INK Lip Cream #M2 Sol ),Bỏ mẫu,3.0,3.0,0.0,0.016666666666666666,0.0,3.0
22.0,8809491946482-01,,Bỏ mẫu,3.0,3.0,0.0,0.016666666666666666,0.0,3.0
23.0,8809491946505,VS10 - SON LÌ MỊN MÔI #M3 7g (Vacosi Matte INK Lip Cream #M3 Luna ),Bỏ mẫu,21.0,21.0,912.0,0.11666666666666667,7817.142857142857,
24.0,8809491946512,VS10 - SON LÌ MỊN MÔI #M4 7g (Vacosi Matte INK Lip Cream #M4 Oram ),Bỏ mẫu,30.0,30.0,2431.0,0.16666666666666666,14586.0,
25.0,8809491946529,VS10 - SON LÌ MỊN MÔI #M5 7g (Vacosi Matte INK Lip Cream #M5 Stella ),Bỏ mẫu,33.0,33.0,899.0,0.18333333333333332,4903.636363636364,
26.0,8809491946529-01,VS10-M5-Y25 VACOSI MATTE INK LIP CREAM #M5 Stella (Son Kem VACOSI Mịn Môi #M5 Cam Gạch),Bỏ mẫu,23.0,23.0,981.0,0.12777777777777777,7677.391304347827,
27.0,8809491946444,,Bỏ mẫu,0.0,0.0,0.0,,,
28.0,8809491946468,,Bỏ mẫu,0.0,0.0,0.0,,,
29.0,8809491946499,VS11 - SON BÓNG TINT CĂNG MỌNG #G3 5g (Vacosi Glossy Tint Lip #G3 Negroni ),Bỏ mẫu,0.0,0.0,4.0,,,
30.0,8809491947397,"VS13-S1 - SON THỎI MỊN LÌ - S1 HABIT (Vacosi Matte Lipstick S1 3,5G)",Bỏ mẫu,19.0,19.0,1770.0,0.10555555555555556,16768.42105263158,
31.0,8809491947403,"VS13-S2 - SON THỎI MỊN LÌ - S2 IMPACT (Vacosi Matte Lipstick S2 3,5G)",Bỏ mẫu,38.0,38.0,2585.0,0.2111111111111111,12244.736842105263,
32.0,8809491947410,"VS13-S3 - SON THỎI MỊN LÌ - S3 STAR (Vacosi Matte Lipstick S3 3,5G)",Bỏ mẫu,55.0,55.0,2027.0,0.3055555555555556,6633.818181818181,
33.0,8809491947533,"VS14-L1 - SON KEM MỊN LÌ VACOSI - L1 DAHLIA (Vacosi Lookbook Lip Cream L1 5,5G)",Bỏ mẫu,103.0,103.0,1521.0,0.5722222222222222,2658.0582524271845,
34.0,8809491947540,"VS14-L2 - SON KEM MỊN LÌ VACOSI - L2 CARNATION (Vacosi Lookbook Lip Cream L2 5,5G)",Bỏ mẫu,160.0,160.0,2917.0,0.8888888888888888,3281.625,
35.0,8809491947557,"VS14-L3 - SON KEM MỊN LÌ VACOSI - L3 GLADIOLI (Vacosi Lookbook Lip Cream L3 5,5G)",Bỏ mẫu,98.0,98.0,6930.0,0.5444444444444444,12728.57142857143,
36.0,8809399370518,VS06-01 - SON DƯỠNG CÓ MÀU (Vacosi Color Lipbalm PK01 3g),Bỏ mẫu,19.0,19.0,1079.0,0.10555555555555556,10222.105263157895,
37.0,8809399370501,VS06-02 - SON DƯỠNG CÓ MÀU (Vacosi Color Lipbalm Or02 3g),Bỏ mẫu,37.0,37.0,3308.0,0.20555555555555555,16092.972972972973,
38.0,8809399370495,VS06-03 - SON DƯỠNG CÓ MÀU (Vacosi Color Lipbalm RD03 3g),,102.0,102.0,2842.0,0.5666666666666667,5015.294117647059,
39.0,8809399370488,VS06-04 - SON DƯỠNG CÓ MÀU (Vacosi Color Lipbalm Or04 3g),,94.0,94.0,3493.0,0.5222222222222223,6688.723404255319,
40.0,8809399370471,VS06-05 - SON DƯỠNG CÓ MÀU (Vacosi Color Lipbalm PK05 3g),,42.0,42.0,1953.0,0.23333333333333334,8370.0,
41.0,8809399370464,VS06-06 - SON DƯỠNG CÓ MÀU (Vacosi Color Lipbalm RD06 3g),,61.0,61.0,2200.0,0.3388888888888889,6491.803278688524,
42.0,8809399376626,VS06-B7 - SON DƯỠNG CÓ MÀU B7 (Vacosi Color Lipbalm B7 Lady Cotta 3G),,71.0,71.0,3643.0,0.39444444444444443,9235.774647887325,
